1lb,365,almond,and,apple,apples,assorted,avocados,baby,bag,bananas,bar,beans,beef,berry,black,blueberry,bread,breast,broccoli,brown,bunch,butter,carrots,cc,cheddar,cheese,cherry,chicken,chips,chocolate,clm,coconut,cream,ct,cv,dark,donation,eggs,for,free,ginger,greek,green,greens,ground,half,hass,hb,hot,italian,juice,kale,large,lemons,lf,milk,navel,nickel,non,og,onions,orange,oranges,organic,original,pck,pct,peppers,pint,plain,pork,profit,raspberry,red,refund,reg,rice,roasted,roll,s0,s1,s2,salad,salt,sauce,sld,soup,spinach,strawberry,sweet,tea,tomatoes,turkey,vanilla,water,white,whole,wtg,yogurt
0.171705015,0,0,0,0,0,0,0,0.168728718,0.257828991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185649915,0,0,0,0.19623328,0,0,0,0,0,0,0,0.318400166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545493724,0.169967082,0,0,0,0.186962032,0,0,0.190772845,0,0,0,0,0,0.2800993,0,0,0,0,0,0,0,0,0,0,0.188132328,0,0,0.187791516,0,0,0,0.33448422,0,0,0,0,0.155916941,0.13458841,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46792272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883769386,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65153798,0,0,0,0,0.151739967,0.287594686,0,0,0,0,0.54192775,0,0.203684902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272749843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245350439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.087636856,0,0,0.062789024,0.232120866,0,0.064014633,0,0.052270054,0.060547669,0,0.05643091,0,0,0.063102969,0,0,0,0,0.094552766,0,0.103265574,0,0,0,0,0,0,0,0,0,0,0,0,0.096849173,0,0,0,0,0,0.060751461,0.061586862,0.304369526,0,0,0.069403489,0,0,0,0,0,0.679854889,0.057772326,0,0,0,0,0.438843585,0,0,0,0,0,0,0,0,0,0,0,0.061781062,0,0.176352437,0.185932526,0,0,0.116660523,0,0,0,0,0,0,0.183459733,0,0,0,0,0.055938043,0.052996641,0.045747009,0
0,0.098906367,0,0,0,0,0,0,0,0,0,0.0951485,0,0.121052619,0,0,0,0,0,0,0.117716423,0,0,0,0,0.135417179,0,0,0.098619828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128391221,0,0,0,0.12672921,0.25694376,0,0,0,0,0,0,0,0,0,0.19339035,0.120514653,0,0,0,0,0,0,0,0,0,0.584676691,0,0,0,0,0,0,0,0,0,0.646433893,0.119907482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.098926677,0,0,0,0,0.188493482,0.247298725,0,0,0,0,0,0.094465151,0,0,0.101984867,0.113395081,0,0,0.122227354,0,0,0,0,0,0.186626898,0,0.226939439,0,0,0.130393439,0.123568171,0,0,0,0,0.116422563,0,0,0.119317391,0,0,0,0.117706414,0.10979319,0.111302971,0,0,0,0,0,0,0,0,0,0.726031684,0.104409143,0,0,0,0.114848978,0,0.116553759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105417473,0,0,0.115163757,0.115358522,0,0,0,0,0.113071559,0,0,0,0.095778277,0.165352731,0.099657752
0,0,0,0.256188285,0,0,0,0,0.268798059,0,0.122208034,0.213778503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15630749,0,0,0.120997851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283782002,0,0.305255527,0.569467323,0,0,0,0,0,0,0,0,0,0,0.362089257,0,0,0,0,0.297845158,0,0,0,0,0,0,0,0,0,0,0,0.153684416,0.144779629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060854065,0.098874846,0,0,0,0.085612579,0,0,0.119598467,0.15991029,0.027187498,0.142677265,0,0,0.082278449,0.03337343,0.158070575,0.054501006,0.094697881,0,0.029419727,0,0,0.065796284,0,0,0,0.17386785,0.0246471,0.030681382,0,0,0,0,0,0.07522958,0,0,0.03126047,0,0.031065923,0,0.593813961,0.025245705,0.034419666,0,0.063132696,0,0.135819779,0.063344411,0,0,0.035460677,0.032071873,0,0,0,0,0,0,0.193328717,0,0,0,0,0,0,0.33622437,0,0.097646913,0,0.036530647,0,0.071741822,0.074452605,0.088318781,0,0.102570052,0,0,0,0.032311394,0.029967317,0.031335723,0,0.033338039,0.057039114,0.033221461,0.06655529,0.15214229,0.032688067,0.031881671,0,0.065235843,0,0.030159186,0,0,0.023849775,0.459974726
0,0,0.1626901,0.006760808,0,0.115097295,0,0,0,0.010839475,0.032250698,0.005641614,0.031064557,0.064597863,0,0.023753191,0.007500339,0.006465087,0,0,0.020939184,0.155212604,0.048342047,0.109269581,0,0.008029254,0.036903349,0.090748997,0.005847439,0.087348618,0.108566525,0,0.310629534,0,0,0.147245644,0.008456865,0,0.059331503,0,0,0.111549586,0,0.161715309,0.008165946,0.060901328,0.179736158,0,0,0.007514121,0.007617449,0,0.008412923,0.060871525,0,0.009132942,0.10837891,0,0,0,0.523643312,0.014291286,0,0,0,0.015720266,0,0.343002681,0.120305173,0.00772213,0,0.008666769,0,0,0.011775748,0.013968883,0,0,0.015282937,0,0.021812373,0,0.007109642,0,0,0,0,0.007881676,0,0.03609523,0.038775652,0.007563816,0.084372977,0.007738489,0.212644461,0,0.006918767,0.013109912,0.028291381,0.456971021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338342547,0,0,0,0,0,0,0,0,0,0,0,0,0.428983956,0,0,0,0,0,0.394191501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474900447,0,0,0,0,0.397499778,0,0,0,0,0,0.403204216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.075134401,0,0.086618719,0,0.086741979,0,0.213578415,0,0.069437067,0,0.072279731,0,0.183915683,0,0.101441075,0.384374015,0.082829974,0,0,0,0,0,0,0,0.102869906,0.094560315,0.105696907,0.074916731,0,0,0,0,0,0.11001867,0.285832529,0,0,0,0,0.188854466,0,0,0.076736238,0,0.097532624,0,0.213578415,0,0.096270074,0.195187793,0,0,0,0,0,0,0,0,0,0.391758214,0.091549175,0,0,0,0,0,0,0.102755759,0.09893507,0,0,0,0,0.075434783,0,0,0,0,0,0,0.098212936,0.091087936,0,0.092433309,0,0,0,0,0,0,0,0,0,0.093944035,0,0.177284941,0,0.072493201,0.436915037
